sentence,grammaticality,type,
העץ שאיכלס את הציפורים שהחתול טרף נכרת.,g,a
הטורנדו שהעיף את האסם שהאיכר בנה נחלש.,g,a
הארנק שנאבד לקשיש שבית-האבות הונה הוחזר.,g,a
המחשב ששמר את המידע שהחוקר אסף התקלקל.,g,a
החבל שהחזיק את מטפס-ההרים שהחום ייסר התנתק.,g,a
הרמקול שניגן את הלהיט שהירחון סיקר הונמך.,g,a
העורב שאכל את הסנדוויץ׳ שהילד הפיל התעופף.,g,a
עורך-הדין שתלה את השלט שהעוזר הבריק יצא לחופש.,g,a 
הסופרמרקט שהעסיק את הקָצַב שסגן-המנהל פיטר נסגר.,g,a
השליח שמסר את ההמבורגר שהמבול הרטיב חזר למסעדה.,g,a 
החשמל שזרם בבניין שהברק פגע בו הופסק.,g,a
הקיוסק שמכר את הארטיק שהפירסום שיווק הרוויח.,g,a
השיפוצניק שהרכיב את הגג שהעסק הזמין חבש כפפות.,g,a
התנין שטרף את האייל שהמטייל תיעד צלל.,g,a
השודד שפרץ את המנעול שהבעלים התקין נמלט.,g,a
השיח שהצינור שדלף השקה נגזם.,g,b
התוכי שהנחש שנכנס לגינה הרג נקבר.,g,b
הכביש שהקשיש שזימזם חצה נחסם.,g,b
המילקשייק שהזוג שטייל שתה נמס.,g,b
הפאי שהקונדיטור שהתלכלך קישט נקנה.,g,b
הטלסקופ שהאסטרונום שנרדם כיוון התקלקל.,g,b
העציץ שהמתכנת שנרדם הזניח התייבש.,g,b
המינוס שהבנקאי שקֻדָם ראה צומצם.,g,b
המשלוח שהקטנוען שהחליק בשלולית מעך הוחזר.,g,b
הרוקח שהחולה שהשתעל התחנן לו סגר את החנות.,g,b
המאלף שהנמר שאכל את הטווס אהב קנה כריך.,g,b
הכבאי שהשכן שכיבה את השריפה צעק עליו בכה.,g,b
האימייל שהרופא שיצא לחופשה כתב למטופלים נשלח.,g,b
המעקה שהכתב שהפיץ מניפסט נשען עליו התרופף.,g,b
המסלול שבית הספר שיצא לטיול שנתי תיכנן השתנה.,g,b
המעמד שהחזיק את הפסל שהאמן הציב.,ng,a
החול שנשאר על הרצפה שהמנקה טיטא.,ng,a
אוסף-הבולים שהודבק באלבום שהאספן החביא.,ng,a
הילקוט שנשכח בכיתה שהמחנך נעל.,ng,a
שק-השינה שנקרע במאהל שהגרעין הקים.,ng,a
כד-החרס שנסדק במוזיאון שראש-העיר סיבסד.,ng,a
הבקבוק שנשכח במכון-הכושר שהמאמן קידם.,ng,a
הרומן שנכתב על-ידי הסופר שהמבקר הילל.,ng,a
הנמל שהוקם על חוף-הים שהממשל הפקיע.,ng,a
התייר קנה את הספל שהמוכר שהמנקה שנא הקניט.,ng,b
הפקיד ספר את הכסף שהאחראי שהצוות שנא תיבל.,ng,b
המאייר צבע את האיור שראש-הממשלה שהציבור שנא הלחיץ.,ng,b
המטוס נחת על המסלול שמגדל-הפיקוד שההוריקן שיבש הפליל.,ng,b
הטוסטר חימם את הלחם שהדייר שהשותף הצחיק חינך.,ng,b
התריס הסתיר את הסלון ששואב האבק שהאבא קנה עיצב.,ng,b
הדייל הרגיע את הנוסע שעובד-המכס שסגן-המנהל השעה הקציף.,ng,b
הפטיש ריסק את הכיור שהשיפוצניק שבעל-הבית שכר עיצבן.,ng,b
ההורוסקופ הדאיג את הנער שהמבזק שהקריין הציג החליף.,ng,b